Date,Open,High,Low,Close,Volume,Ticker
2020-01-02,72.72,72.78,71.47,71.72,135480400.0,AAPL
2020-01-03,72.01,72.77,71.78,71.94,146322800.0,AAPL
2020-01-06,72.58,72.62,70.88,71.13,118387200.0,AAPL
2020-01-07,72.24,72.85,72.02,72.59,108872000.0,AAPL
2020-01-08,73.4,73.71,71.94,71.94,132079200.0,AAPL
2020-01-09,74.96,75.16,74.13,74.38,170108400.0,AAPL
2020-01-10,75.13,75.7,74.63,75.2,140644800.0,AAPL
2020-01-13,76.74,76.76,75.33,75.45,121532000.0,AAPL
2020-01-14,75.7,76.89,75.58,76.67,161954400.0,AAPL
2020-01-15,75.38,76.38,74.94,75.5,121923600.0,AAPL
2020-01-16,76.32,76.43,75.56,75.92,108829200.0,AAPL
2020-01-17,77.17,77.17,76.26,76.57,137816400.0,AAPL
2020-01-21,76.64,77.24,76.5,76.79,110843200.0,AAPL
2020-01-22,76.92,77.47,76.82,77.13,101832400.0,AAPL
2020-01-23,77.29,77.37,76.42,76.97,104472000.0,AAPL
2020-01-24,77.06,78.28,76.87,77.53,146537600.0,AAPL
2020-01-27,74.8,75.48,73.81,75.07,161940000.0,AAPL
2020-01-28,76.91,77.09,75.58,75.68,162234000.0,AAPL
2020-01-29,78.52,79.37,77.81,78.55,216229200.0,AAPL
2020-01-30,78.41,78.46,77.17,77.6,126743200.0,AAPL
2020-01-31,74.93,78.12,74.64,77.7,199588400.0,AAPL
2020-02-03,74.73,75.9,73.17,73.67,173788400.0,AAPL
2020-02-04,77.2,77.39,75.93,76.34,136616400.0,AAPL
2020-02-05,77.82,78.63,77.22,78.33,118826800.0,AAPL
2020-02-06,78.73,78.74,77.54,78.1,105425600.0,AAPL
2020-02-07,77.66,78.48,77.17,78.23,117684000.0,AAPL
2020-02-10,78.03,78.03,76.16,76.24,109348800.0,AAPL
2020-02-11,77.56,78.6,77.34,78.53,94323200.0,AAPL
2020-02-12,79.4,79.41,78.01,78.01,113730400.0,AAPL
2020-02-13,78.84,79.17,78.47,78.67,94747600.0,AAPL
2020-02-14,78.86,79.11,78.35,78.81,80113600.0,AAPL
2020-02-18,77.41,77.6,76.35,76.53,152531200.0,AAPL
2020-02-19,78.54,78.77,77.66,77.66,93984000.0,AAPL
2020-02-20,77.73,78.79,77.22,78.3,100566000.0,AAPL
2020-02-21,75.97,77.77,75.35,77.32,129554000.0,AAPL
2020-02-24,72.36,73.82,70.19,72.14,222195200.0,AAPL
2020-02-25,69.91,73.42,69.44,73.03,230673600.0,AAPL
2020-02-26,71.02,72.29,69.53,69.53,198054800.0,AAPL
2020-02-27,66.38,69.41,66.24,68.22,320605600.0,AAPL
2020-02-28,66.34,67.56,62.22,62.43,426510000.0,AAPL
2020-03-02,72.51,73.15,67.4,68.5,341397200.0,AAPL
2020-03-03,70.21,73.77,69.36,73.69,319475600.0,AAPL
2020-03-04,73.47,73.63,71.14,71.94,219178400.0,AAPL
2020-03-05,71.09,72.69,70.72,71.72,187572800.0,AAPL
2020-03-06,70.14,70.58,68.25,68.44,226176800.0,AAPL
2020-03-09,64.59,67.49,63.82,64.01,286744800.0,AAPL
2020-03-10,69.25,69.51,65.37,67.26,285290000.0,AAPL
2020-03-11,66.84,68.25,65.97,67.32,255598800.0,AAPL
2020-03-12,60.24,65.52,60.18,62.11,418474000.0,AAPL
2020-03-13,67.46,67.93,61.39,64.28,370732000.0,AAPL
2020-03-16,58.78,62.87,58.24,58.72,322423600.0,AAPL
2020-03-17,61.36,62.52,57.85,60.07,324056000.0,AAPL
2020-03-18,59.86,60.67,57.54,58.19,300233600.0,AAPL
2020-03-19,59.4,61.36,58.88,60.04,271857200.0,AAPL
2020-03-20,55.63,61.11,55.33,59.99,401693200.0,AAPL
2020-03-23,54.45,55.45,51.6,55.35,336752800.0,AAPL
2020-03-24,59.91,60.11,56.86,57.36,287531200.0,AAPL
2020-03-25,59.58,62.67,59.29,60.85,303602000.0,AAPL
2020-03-26,62.72,62.78,59.79,59.83,252087200.0,AAPL
2020-03-27,60.12,62.09,59.95,61.34,204216800.0,AAPL
2020-03-30,61.84,62.01,60.52,60.85,167976400.0,AAPL
2020-03-31,61.71,63.7,61.16,62.03,197002000.0,AAPL
2020-04-01,58.46,60.36,58.03,59.82,176218400.0,AAPL
2020-04-02,59.44,59.49,57.49,58.33,165934000.0,AAPL
2020-04-03,58.59,59.63,57.99,58.92,129880000.0,AAPL
2020-04-06,63.7,63.85,60.52,60.89,201820400.0,AAPL
2020-04-07,62.96,65.94,62.85,65.72,202887200.0,AAPL
2020-04-08,64.57,64.89,63.4,63.76,168895200.0,AAPL
2020-04-09,65.04,65.54,64.24,65.21,161834800.0,AAPL
2020-04-13,66.31,66.42,64.51,65.11,131022800.0,AAPL
2020-04-14,69.66,69.95,67.48,67.95,194994800.0,AAPL
2020-04-15,69.03,69.49,68.1,68.53,131154400.0,AAPL
2020-04-16,69.57,69.94,68.52,69.74,157125200.0,AAPL
2020-04-17,68.63,69.64,67.19,69.09,215250000.0,AAPL
2020-04-20,67.21,68.36,67.19,67.45,130015200.0,AAPL
2020-04-21,65.13,67.28,64.41,67.05,180991600.0,AAPL
2020-04-22,67.0,67.44,66.06,66.4,116862400.0,AAPL
2020-04-23,66.74,68.37,66.71,66.95,124814400.0,AAPL
2020-04-24,68.67,68.68,67.22,67.27,126161200.0,AAPL
2020-04-27,68.72,69.05,67.94,68.39,117087600.0,AAPL
2020-04-28,67.61,69.36,67.51,69.18,112004800.0,AAPL
2020-04-29,69.83,70.3,68.89,69.1,137280800.0,AAPL
2020-04-30,71.3,71.48,69.98,70.37,183064000.0,AAPL
2020-05-01,70.15,72.56,69.37,69.47,240616800.0,AAPL
2020-05-04,71.14,71.27,69.48,70.18,133568000.0,AAPL
2020-05-05,72.21,73.05,71.46,71.6,147751200.0,AAPL
2020-05-06,72.96,73.59,72.53,72.92,142333600.0,AAPL
2020-05-07,73.71,74.06,73.28,73.59,115215200.0,AAPL
2020-05-08,75.47,75.52,74.04,74.37,133838400.0,AAPL
2020-05-11,76.65,77.15,74.76,74.97,145946400.0,AAPL
2020-05-12,75.78,77.79,75.66,77.34,162301200.0,AAPL
2020-05-13,74.86,76.88,73.78,75.96,200622400.0,AAPL
2020-05-14,75.32,75.38,73.37,74.1,158929200.0,AAPL
2020-05-15,74.88,74.92,73.05,73.09,166348400.0,AAPL
2020-05-18,76.64,77.02,75.51,76.21,135178400.0,AAPL
2020-05-19,76.2,77.51,76.17,76.66,101729600.0,AAPL
2020-05-20,77.68,77.75,77.02,77.06,111504800.0,AAPL
2020-05-21,77.1,78.08,76.86,77.54,102688800.0,AAPL
2020-05-22,77.6,77.68,76.74,76.84,81803200.0,AAPL
2020-05-26,77.07,78.9,77.02,78.72,125522000.0,AAPL
2020-05-27,77.41,77.55,76.19,76.93,112945200.0,AAPL
2020-05-28,77.44,78.7,76.8,77.08,133560800.0,AAPL
2020-05-29,77.37,78.15,77.01,77.69,153532400.0,AAPL
2020-06-01,78.32,78.44,77.19,77.32,80791200.0,AAPL
2020-06-02,78.68,78.7,77.61,78.05,87642800.0,AAPL
2020-06-03,79.11,79.38,78.43,79.0,104491200.0,AAPL
2020-06-04,78.43,79.24,78.06,78.94,87560400.0,AAPL
2020-06-05,80.67,80.73,78.65,78.68,137250400.0,AAPL
2020-06-08,81.14,81.18,79.65,80.36,95654400.0,AAPL
2020-06-09,83.71,84.1,80.79,80.82,147712400.0,AAPL
2020-06-10,85.86,86.33,84.22,84.66,166651600.0,AAPL
2020-06-11,81.74,85.43,81.63,85.0,201662400.0,AAPL
2020-06-12,82.44,84.63,81.33,83.88,200146000.0,AAPL
2020-06-15,83.46,84.12,80.93,81.09,138808800.0,AAPL
2020-06-16,85.67,85.95,83.88,85.52,165428800.0,AAPL
2020-06-17,85.55,86.48,85.43,86.42,114406400.0,AAPL
2020-06-18,85.59,86.01,84.98,85.51,96820400.0,AAPL
2020-06-19,85.1,86.76,83.99,86.3,264476000.0,AAPL
2020-06-22,87.33,87.47,85.45,85.49,135445200.0,AAPL
2020-06-23,89.19,90.61,88.15,88.57,212155600.0,AAPL
2020-06-24,87.62,89.74,87.24,88.82,192623200.0,AAPL
2020-06-25,88.78,88.82,87.01,87.77,137522400.0,AAPL
